Variable,Total (n = 970),Non-AKI (n = 593),AKI (n = 377),p value
"Age, years","48.0 [34.0, 62.0]","42.0 [28.0, 56.0]","58.0 [45.0, 68.0]",<0.001
"Weight, Kg","73.2 [62.2, 87.3]","68.7 [60.0, 81.1]","81.6 [68.3, 97.0]",<0.001
"HR, beats/min","101.0 [89.0, 113.0]","102.0 [91.0, 113.0]","100.0 [87.0, 111.0]",0.022
"RR, breaths/min","19.0 [16.0, 23.0]","19.0 [16.0, 23.0]","20.0 [17.0, 24.0]",0.005
"SBP, mmHg","128.0 [114.0, 144.0]","129.0 [116.0, 144.0]","127.0 [111.0, 144.0]",0.076
"DBP, mmHg","72.0 [61.0, 83.0]","73.0 [63.0, 84.0]","70.0 [58.0, 83.0]",0.002
"Bicarbonate, mEq/L","16.0 [12.0, 20.0]","16.0 [11.0, 20.0]","17.0 [13.0, 21.0]",0.002
"WBC, K/μL","11.2 [8.0, 15.6]","10.5 [7.5, 15.0]","12.3 [8.6, 16.8]",<0.001
"PLT, K/μL","236.0 [191.0, 302.0]","244.0 [193.0, 305.0]","229.0 [183.8, 295.8]",0.169
"Hb, g/dl","11.2 [9.6, 12.6]","11.5 [10.1, 12.9]","10.7 [9.2, 12.2]",<0.001
"Phosphate, mEq/L","2.6 [1.8, 3.6]","2.4 [1.6, 3.2]","3.0 [2.1, 4.1]",<0.001
"Calcium, mEq/L","8.3 [7.8, 8.8]","8.3 [7.9, 8.8]","8.3 [7.8, 8.8]",0.922
AG,"19.0 [15.0, 24.0]","19.0 [15.0, 24.0]","19.0 [15.0, 24.0]",0.926
"BUN, mg/dl","21.0 [12.0, 38.0]","17.0 [11.0, 29.0]","32.0 [18.0, 47.0]",<0.001
"Scr, mg/dl","1.1 [0.8, 1.7]","1.0 [0.7, 1.4]","1.4 [0.9, 2.1]",<0.001
"Blood glucose, mg/dl","257.0 [177.0, 374.0]","242.5 [173.0, 330.5]","290.0 [192.0, 446.0]",<0.001
eGFR,"76.7 [40.7, 108.4]","95.2 [63.8, 118.7]","47.7 [27.6, 80.7]",<0.001
GCS,"15.0 [15.0, 15.0]","15.0 [15.0, 15.0]","15.0 [15.0, 15.0]",<0.001
OASIS,"25.0 [21.0, 30.0]","23.0 [19.0, 27.0]","29.0 [24.0, 36.0]",<0.001
SOFA,"2.0 [1.0, 4.0]","2.0 [1.0, 3.0]","3.0 [2.0, 6.0]",<0.001
SAPSII,"25.0 [19.0, 35.0]","22.0 [17.0, 29.0]","33.0 [24.0, 42.0]",<0.001
Gender (Female),521 (53.7),316 (53.3),205 (54.4),0.791
Microangiopathy (Yes),356 (36.7),193 (32.5),163 (43.2),<0.001
Macroangiopathy (Yes),224 (23.1),93 (15.7),131 (34.7),<0.001
UTI (Yes),117 (12.1),56 (9.4),61 (16.2),0.002
Chronic Pulmonary Disease (Yes),162 (16.7),81 (13.7),81 (21.5),0.002
Liver disease (Yes),90 (9.3),45 (7.6),45 (11.9),0.031
History of hypertension (Yes),378 (39.0),211 (35.6),167 (44.3),0.008
History of CHF (Yes),141 (14.5),52 (8.8),89 (23.6),<0.001
History of AMI (Yes),146 (15.1),60 (10.1),86 (22.8),<0.001
History of ACI (Yes),70 (7.2),25 (4.2),45 (11.9),<0.001
Malignant Cancer (Yes),35 (3.6),21 (3.5),14 (3.7),1.000
Ethnicity,,,,0.002
  White,560 (57.7),350 (59.0),210 (55.7),
  African-American,258 (26.6),150 (25.3),108 (28.6),
  Hispanic-American,55 (5.7),40 (6.7),15 (4.0),
  Asian,26 (2.7),21 (3.5),5 (1.3),
  Other,71 (7.3),32 (5.4),39 (10.3),
DM type,,,,<0.001
  T1DM,600 (61.9),406 (68.5),194 (51.5),
  T2DM,275 (28.4),142 (23.9),133 (35.3),
  Other,95 (9.8),45 (7.6),50 (13.3),
Preexisting CKD,,,,<0.001
  Non-CKD,872 (89.9),553 (93.3),319 (84.6),
  Stage1-3,67 (6.9),30 (5.1),37 (9.8),
  Stage 4,31 (3.2),10 (1.7),21 (5.6),
